Gender,Age,Height,Weight,Sport,Weekly_Training_Hours,Training_Intensity,Physical_Conditioning,Nutrition_Score,Previous_Injuries,Injury_Risk
Women,29,197,62.8,Basketball,7.3,Moderate,9.1,9.8,1,high
Men,39,190,90.3,Basketball,20.0,High,2.4,9.1,0,high
Men,28,167,65.4,Football,15.6,High,3.9,1.0,4,high
Women,23,166,71.5,Football,6.1,Moderate,8.8,3.6,1,low
Women,33,172,78.3,Swimming,6.9,Moderate,5.6,9.1,1,high
Women,22,165,58.3,Running,11.5,Moderate,5.1,3.4,1,low
Women,26,197,65.2,Basketball,9.9,Moderate,5.5,4.9,5,high
Men,29,163,57.4,Running,10.9,Moderate,1.9,8.1,2,low
Women,26,191,74.7,Swimming,14.4,Moderate,2.8,3.8,2,high
Women,27,159,45.9,Gymnastics,5.0,Moderate,5.5,3.4,0,low
Men,26,165,50.6,Running,7.5,Moderate,3.9,7.4,2,low
Men,37,174,68.9,Gymnastics,7.1,Moderate,6.5,3.7,3,high
Women,32,163,61.3,Football,0.8,Low,7.7,3.2,1,low
Women,26,186,81.8,Basketball,8.6,Moderate,1.2,7.7,0,high
Men,30,188,85.2,Swimming,2.4,Low,1.4,4.9,0,high
Men,28,185,69.7,Football,10.7,Moderate,4.2,6.4,4,high
Men,25,186,101.3,Basketball,7.0,Moderate,2.6,2.5,3,high
Men,39,188,78.1,Football,12.2,Moderate,4.3,4.6,1,high
Men,29,181,65.7,Running,9.0,Moderate,9.9,3.4,5,high
Men,19,172,69.0,Gymnastics,3.5,Low,3.4,1.6,4,low
Women,22,178,58.9,Football,7.9,Moderate,9.6,6.7,3,high
Women,30,174,58.8,Football,11.0,Moderate,3.2,5.0,4,high
Women,20,189,73.2,Swimming,17.1,High,8.4,4.4,1,high
Women,26,172,73.7,Swimming,10.9,Moderate,5.8,5.7,2,high
Women,20,153,51.7,Gymnastics,6.1,Moderate,2.3,8.7,2,low
Women,34,176,57.2,Swimming,8.9,Moderate,4.6,8.6,0,low
Women,32,169,42.5,Gymnastics,13.8,Moderate,4.3,10.0,2,low
Men,24,160,67.1,Running,17.7,High,6.7,2.8,3,high
Women,30,173,62.9,Basketball,2.3,Low,1.3,6.5,5,low
Men,20,203,87.6,Swimming,10.4,Moderate,7.0,4.1,5,high
Men,22,183,68.3,Running,3.6,Low,2.5,5.3,3,low
Women,30,169,53.4,Gymnastics,7.6,Moderate,6.3,6.1,3,low
Men,39,197,101.0,Basketball,1.7,Low,6.9,4.4,1,high
Men,39,205,89.3,Swimming,10.5,Moderate,2.2,9.8,5,high
Men,40,184,67.3,Football,13.7,Moderate,2.5,7.7,1,high
Women,30,173,69.4,Football,6.9,Moderate,2.8,3.6,1,low
Men,33,174,72.1,Gymnastics,4.7,Low,5.8,9.0,0,high
Men,21,164,71.6,Running,11.0,Moderate,4.0,1.5,3,low
Men,28,198,87.6,Swimming,1.7,Low,6.2,6.8,1,high
Men,21,196,72.0,Swimming,18.8,High,7.2,5.1,5,high
Men,35,160,73.4,Gymnastics,12.2,Moderate,3.2,3.2,3,high
Men,25,191,94.6,Basketball,18.8,High,5.0,2.6,0,high
Men,27,160,62.1,Running,16.2,High,9.9,7.7,4,high
Men,23,165,89.4,Football,0.1,Low,3.1,6.8,0,low
Men,18,176,79.5,Football,12.2,Moderate,2.8,3.0,0,low
Women,28,177,58.0,Swimming,17.5,High,1.6,9.9,5,high
Women,22,198,57.0,Basketball,10.1,Moderate,8.2,7.1,2,high
Men,24,209,77.2,Basketball,18.2,High,9.6,2.1,2,high
Women,39,170,46.3,Running,16.6,High,8.1,1.4,3,high
Men,38,163,67.0,Gymnastics,1.1,Low,4.1,1.2,1,low
Men,19,186,67.6,Football,8.9,Moderate,8.3,4.1,5,high
Men,35,187,65.7,Football,7.6,Moderate,9.2,6.7,3,high
Women,37,162,50.8,Gymnastics,10.7,Moderate,7.6,7.7,5,high
Men,19,196,76.0,Swimming,3.4,Low,2.6,7.6,4,high
Men,18,163,62.2,Running,20.0,High,5.4,7.6,4,high
Women,29,184,63.3,Basketball,19.7,High,1.7,7.1,5,high
Women,22,162,65.8,Football,9.8,Moderate,5.7,4.8,1,low
Women,38,163,46.5,Gymnastics,11.3,Moderate,6.4,6.0,2,low
Women,24,182,58.6,Football,11.7,Moderate,9.0,5.1,2,high
Women,19,199,71.6,Basketball,9.2,Moderate,7.2,3.1,2,high
Men,20,201,98.6,Basketball,15.7,High,7.6,7.9,0,high
Women,32,165,55.0,Running,7.2,Moderate,9.4,9.5,5,high
Men,37,181,66.7,Running,17.9,High,9.9,2.0,5,high
Women,20,170,51.7,Gymnastics,3.8,Low,3.8,3.9,4,low
Women,26,172,71.6,Football,12.2,Moderate,7.8,8.3,0,high
Men,30,201,72.6,Swimming,8.1,Moderate,3.3,4.1,1,high
Women,35,174,67.9,Football,3.8,Low,5.5,8.3,4,high
Men,32,198,74.1,Swimming,13.8,Moderate,9.7,9.5,2,high
Women,20,177,58.7,Running,13.6,Moderate,9.4,6.7,1,high
Women,23,167,40.7,Gymnastics,5.4,Moderate,4.6,9.1,1,low
Women,37,191,72.3,Swimming,9.0,Moderate,7.2,7.4,3,high
Men,29,166,88.8,Football,5.5,Moderate,9.8,5.5,4,high
Men,36,180,76.5,Football,12.5,Moderate,9.9,1.3,4,high
Men,22,188,72.2,Basketball,18.7,High,10.0,7.9,3,high
Women,22,165,46.0,Running,15.3,High,1.2,9.2,0,low
Women,34,151,45.8,Gymnastics,16.5,High,3.8,1.3,1,low
Men,22,214,81.6,Basketball,8.8,Moderate,3.8,3.3,2,high
Women,31,176,57.8,Running,5.5,Moderate,9.9,5.0,3,high
Men,28,186,98.9,Basketball,6.4,Moderate,1.7,8.4,0,high
Men,26,182,76.6,Swimming,4.1,Low,6.0,10.0,4,high
Men,28,164,73.9,Gymnastics,10.8,Moderate,6.2,8.4,0,high
Women,37,158,46.8,Gymnastics,6.4,Moderate,4.8,4.6,3,low
Women,37,168,54.4,Football,19.1,High,1.3,7.4,0,high
Men,19,170,67.0,Running,2.3,Low,3.8,4.2,1,low
Men,25,162,63.7,Running,17.6,High,3.6,5.3,2,low
Men,30,188,65.7,Running,14.4,Moderate,8.0,2.1,1,high
Women,28,176,67.6,Football,15.2,High,4.2,3.6,1,high
Men,39,210,74.3,Basketball,8.9,Moderate,3.3,4.2,2,high
Women,33,175,66.4,Swimming,4.3,Low,7.9,6.6,0,high
Women,26,154,53.4,Running,7.9,Moderate,1.6,6.9,0,low
Women,24,178,55.6,Football,2.4,Low,8.5,6.0,4,low
Men,25,184,54.7,Running,4.1,Low,5.3,3.5,1,low
Men,29,177,51.6,Running,18.8,High,7.5,4.9,4,high
Men,39,188,99.0,Swimming,11.4,Moderate,4.5,1.6,3,high
Women,23,183,61.5,Football,19.7,High,8.9,8.8,0,high
Men,18,167,75.0,Football,13.0,Moderate,6.4,6.1,2,high
Men,28,183,80.7,Swimming,12.7,Moderate,6.5,2.0,2,high
Women,31,175,50.0,Running,19.6,High,5.3,7.4,2,high
Women,27,191,58.8,Swimming,18.4,High,2.4,6.2,4,high
Men,26,168,67.4,Gymnastics,3.3,Low,9.0,1.7,2,low
Men,35,177,67.1,Swimming,19.7,High,4.7,5.4,2,high
Women,21,162,63.8,Running,15.9,High,4.5,8.1,1,low
Men,38,162,73.8,Gymnastics,14.1,Moderate,7.9,4.8,5,high
Men,20,205,99.2,Basketball,19.4,High,8.4,5.2,0,high
Women,23,171,70.9,Swimming,5.4,Moderate,5.0,3.6,5,low
Women,23,193,76.2,Swimming,3.6,Low,8.9,7.2,1,high
Women,39,184,70.0,Basketball,6.4,Moderate,5.6,1.9,3,high
Women,36,174,71.9,Football,5.2,Moderate,3.2,7.8,2,high
Women,29,178,70.7,Basketball,17.7,High,2.6,9.0,0,high
Women,32,200,67.9,Basketball,18.2,High,3.7,9.3,5,high
Men,26,174,70.1,Running,18.6,High,6.5,2.4,3,high
Men,20,172,73.2,Gymnastics,6.1,Moderate,7.3,1.5,2,low
Women,21,179,65.9,Swimming,12.8,Moderate,3.7,1.4,5,high
Women,30,176,64.2,Basketball,1.0,Low,8.9,9.2,4,high
Women,35,194,66.3,Swimming,4.3,Low,5.7,5.8,4,high
Women,36,176,64.0,Football,14.8,Moderate,9.4,1.7,3,high
Men,18,192,72.2,Football,8.3,Moderate,7.0,8.3,1,high
Women,34,161,52.5,Football,12.4,Moderate,4.0,2.5,0,low
Women,34,182,64.8,Football,1.5,Low,4.0,4.8,3,low
Men,32,186,87.0,Basketball,1.8,Low,2.8,6.8,3,high
Men,38,161,60.0,Gymnastics,11.3,Moderate,8.9,5.5,2,high
Women,38,151,47.8,Gymnastics,11.4,Moderate,8.9,1.4,1,low
Men,25,187,82.1,Football,14.1,Moderate,5.9,2.5,3,high
Men,33,169,62.3,Gymnastics,8.2,Moderate,4.7,8.4,5,high
Women,27,173,49.6,Running,18.7,High,6.1,3.9,2,high
Women,38,179,72.7,Football,10.1,Moderate,1.5,7.4,1,high
Women,24,184,52.3,Football,17.6,High,7.3,9.4,1,high
Men,40,173,55.5,Gymnastics,16.7,High,9.3,6.2,0,high
Men,31,191,72.8,Football,5.5,Moderate,3.7,1.6,1,high
Women,36,194,69.0,Basketball,15.1,High,6.8,5.4,2,high
Men,20,187,64.9,Football,11.6,Moderate,5.5,2.6,4,high
Men,22,189,70.9,Running,2.9,Low,9.3,1.9,4,high
Men,38,170,72.1,Gymnastics,16.8,High,6.9,4.8,3,high
Men,39,189,70.4,Swimming,19.8,High,8.4,2.9,2,high
Men,24,175,62.0,Football,14.0,Moderate,6.2,9.1,1,high
Men,23,169,56.8,Gymnastics,19.4,High,8.6,5.2,4,high
Women,36,197,78.6,Basketball,11.1,Moderate,1.9,6.8,0,high
Women,19,163,43.5,Gymnastics,0.1,Low,2.9,8.9,3,low
Women,26,152,46.0,Gymnastics,17.2,High,5.0,8.4,1,low
Women,20,172,74.4,Swimming,11.2,Moderate,7.3,7.2,3,high
Men,31,190,55.4,Running,12.8,Moderate,5.3,9.3,2,high
Women,28,172,57.5,Football,10.0,Moderate,8.7,8.9,5,high
Women,39,166,58.0,Swimming,11.5,Moderate,6.3,4.1,5,high
Men,38,195,73.8,Football,5.8,Moderate,9.5,2.4,2,high
Women,39,168,52.2,Gymnastics,18.5,High,9.9,1.9,3,high
Women,18,169,64.9,Swimming,1.4,Low,1.8,6.9,0,low
Men,26,174,52.7,Running,12.0,Moderate,4.8,4.6,3,low
Men,21,190,83.5,Football,19.1,High,1.7,9.2,1,high
Women,36,195,76.3,Basketball,9.0,Moderate,7.4,4.2,5,high
Women,28,156,52.3,Gymnastics,11.3,Moderate,1.9,7.3,3,low
Women,30,167,61.9,Football,6.1,Moderate,8.7,3.6,3,low
Men,21,178,62.8,Running,7.3,Moderate,2.0,1.2,5,low
Women,19,160,69.6,Football,1.5,Low,4.7,9.5,3,low
Women,22,160,54.2,Football,1.2,Low,6.5,8.4,2,low
Women,24,166,54.4,Gymnastics,8.5,Moderate,7.5,3.1,4,low
Women,39,178,73.2,Football,13.5,Moderate,1.1,7.3,5,high
Men,23,169,50.5,Running,9.1,Moderate,2.1,3.2,4,low
Men,18,188,75.0,Football,12.1,Moderate,2.6,4.0,4,high
Men,30,175,52.3,Running,9.9,Moderate,3.5,7.0,2,low
Women,36,164,60.9,Running,11.4,Moderate,3.8,7.9,2,high
Men,32,186,63.5,Running,19.6,High,5.3,9.1,5,high
Women,30,168,55.1,Football,4.7,Low,2.0,4.2,5,low
Men,24,179,70.7,Swimming,3.1,Low,3.2,1.9,2,low
Men,38,187,63.0,Running,8.3,Moderate,6.4,9.1,0,high
Women,20,167,42.7,Gymnastics,19.7,High,2.3,3.4,3,low
Women,18,173,61.0,Football,14.6,Moderate,1.9,5.6,0,low
Women,18,195,76.9,Swimming,3.1,Low,5.1,8.0,4,high
Men,22,183,71.3,Football,4.3,Low,7.1,2.5,1,low
Men,22,172,83.8,Football,11.8,Moderate,2.1,2.6,2,high
Men,32,169,76.2,Football,18.4,High,4.5,5.6,5,high
Men,33,187,71.0,Swimming,6.7,Moderate,4.4,8.0,2,high
Women,21,157,51.5,Football,4.5,Low,9.8,1.4,3,low
Men,21,176,73.4,Running,17.2,High,6.5,2.6,0,high
Men,29,196,88.8,Swimming,9.1,Moderate,1.7,3.3,5,high
Women,38,155,53.6,Gymnastics,17.4,High,4.9,7.6,3,high
Women,38,166,50.5,Gymnastics,11.7,Moderate,7.2,5.0,4,high
Men,34,169,51.9,Running,1.2,Low,9.2,8.9,4,low
Men,30,174,66.6,Gymnastics,17.7,High,6.4,5.0,3,high
Women,24,180,75.2,Swimming,11.0,Moderate,6.2,6.6,3,high
Men,36,212,102.9,Basketball,17.7,High,1.6,7.4,5,high
Men,30,188,70.6,Running,5.9,Moderate,2.8,1.7,0,low
Women,28,198,80.1,Basketball,18.0,High,8.6,2.9,5,high
Women,40,168,56.9,Football,3.3,Low,6.6,5.7,1,low
Women,28,186,58.4,Swimming,17.9,High,7.1,2.4,1,high
Women,27,196,73.8,Basketball,19.4,High,8.1,8.9,2,high
Men,18,179,87.9,Football,12.1,Moderate,2.4,7.6,4,high
Women,33,182,74.5,Swimming,7.9,Moderate,7.8,6.4,0,high
Women,35,197,82.8,Basketball,15.5,High,10.0,8.6,4,high
Women,35,180,64.3,Running,5.8,Moderate,5.8,1.2,2,high
Women,31,176,50.4,Football,1.7,Low,3.0,8.3,0,low
Men,21,176,74.7,Gymnastics,16.3,High,1.6,3.4,1,low
Women,28,168,54.7,Gymnastics,3.0,Low,6.0,9.8,0,low
Women,20,185,67.5,Football,13.0,Moderate,3.2,8.6,3,high
Women,36,163,58.5,Running,19.9,High,7.4,4.8,2,high
Women,38,157,54.7,Football,8.1,Moderate,1.9,7.7,4,low
Women,28,193,67.5,Swimming,12.0,Moderate,9.4,6.2,5,high
Men,20,171,83.5,Football,4.9,Low,6.2,9.5,0,low
Men,25,175,92.7,Swimming,1.4,Low,8.8,5.4,5,high
Women,24,162,73.8,Football,11.3,Moderate,3.6,2.4,0,low
Women,29,181,69.4,Football,14.8,Moderate,4.1,3.8,1,high
Women,27,162,72.1,Football,3.3,Low,2.1,6.7,5,low
Women,22,183,57.8,Basketball,5.0,Low,2.4,9.2,1,low
Women,39,162,43.4,Gymnastics,7.2,Moderate,3.0,4.1,2,low
Women,39,163,58.9,Running,7.6,Moderate,7.3,6.2,4,high
Men,24,183,51.6,Running,0.1,Low,7.0,9.7,3,low
Women,21,170,64.5,Swimming,1.6,Low,3.6,7.8,3,low
Men,33,196,73.7,Basketball,13.9,Moderate,4.0,9.3,5,high
Men,34,167,73.1,Football,18.5,High,8.7,6.5,1,high
Women,26,163,66.5,Football,3.1,Low,6.8,4.6,0,low
Men,24,168,71.4,Football,1.4,Low,2.4,9.2,4,low
Women,40,170,56.6,Football,7.1,Moderate,1.5,2.4,4,low
Men,24,186,103.5,Basketball,17.1,High,3.0,8.2,5,high
Women,37,181,65.9,Football,12.4,Moderate,6.7,3.3,3,high
Women,18,194,70.9,Basketball,10.5,Moderate,3.5,5.9,5,high
Men,22,189,74.8,Running,5.8,Moderate,4.5,5.8,4,high
Men,30,172,67.4,Gymnastics,11.7,Moderate,1.5,5.6,0,low
Men,33,179,74.1,Swimming,0.3,Low,4.5,7.3,5,high
Men,25,165,58.4,Running,13.5,Moderate,2.7,8.8,0,low
Men,25,184,70.3,Running,20.0,High,8.0,6.1,5,high
Men,31,185,92.2,Swimming,8.9,Moderate,5.8,3.5,0,high
Men,27,161,60.3,Gymnastics,4.7,Low,9.0,6.5,4,low
Men,29,176,67.6,Running,18.7,High,5.4,6.9,5,high
Men,36,200,106.0,Basketball,16.9,High,7.5,7.3,3,high
Men,18,167,73.0,Football,6.2,Moderate,3.2,8.3,3,low
Women,37,175,48.3,Running,9.7,Moderate,6.2,5.3,2,low
Men,33,173,65.3,Gymnastics,15.1,High,8.6,5.5,4,high
Women,37,189,56.9,Swimming,7.8,Moderate,5.5,6.7,2,high
Women,29,156,47.6,Running,4.5,Low,6.1,7.8,0,low
Men,32,215,94.8,Basketball,4.2,Low,5.1,7.9,4,high
Men,38,204,73.8,Swimming,4.5,Low,2.5,6.1,1,high
Women,24,158,48.9,Running,11.8,Moderate,7.5,1.2,1,low
Women,32,183,66.7,Swimming,4.0,Low,3.9,6.7,1,low
Men,22,204,94.3,Swimming,15.1,High,5.8,9.4,2,high
Men,39,190,50.3,Running,12.4,Moderate,2.7,7.1,2,high
Men,35,176,70.2,Running,15.8,High,2.5,1.3,2,high
Women,39,190,67.7,Basketball,17.7,High,7.8,8.6,3,high
Men,40,187,63.0,Football,1.5,Low,4.1,1.4,0,low
Men,23,163,59.9,Running,1.5,Low,7.2,2.9,2,low
Men,29,215,100.6,Basketball,17.7,High,2.9,8.4,3,high
Women,22,175,80.9,Basketball,14.6,Moderate,9.6,3.8,1,high
Women,28,192,60.2,Swimming,9.4,Moderate,1.1,2.4,1,low
Men,33,176,67.3,Gymnastics,1.1,Low,5.9,1.2,2,low
Women,34,190,56.3,Swimming,3.6,Low,1.1,5.8,2,low
Women,40,160,41.0,Gymnastics,4.1,Low,2.1,3.4,1,low
Women,18,157,45.2,Running,17.4,High,1.5,5.2,5,low
Women,29,181,72.7,Basketball,17.6,High,5.5,1.1,5,high
Women,38,157,64.0,Running,4.9,Low,7.5,3.4,3,low
Women,25,182,54.3,Football,7.0,Moderate,5.3,2.4,5,low
Women,26,193,56.6,Basketball,18.8,High,1.6,9.3,5,high
Men,20,192,88.5,Football,7.7,Moderate,7.2,4.7,0,high
Men,34,190,56.3,Running,6.0,Moderate,4.1,9.3,1,high
Women,33,165,64.3,Running,12.7,Moderate,2.8,5.8,3,high
Men,36,170,68.5,Football,11.6,Moderate,6.4,4.5,4,high
Men,21,182,66.8,Running,18.9,High,8.1,9.8,1,high
Men,27,180,82.5,Basketball,16.9,High,3.6,4.6,2,high
Women,24,153,54.7,Running,4.8,Low,2.4,5.9,3,low
Women,33,169,78.7,Swimming,17.8,High,4.0,4.4,3,high
Women,37,179,64.9,Football,4.9,Low,3.4,8.2,5,high
Women,18,162,64.4,Running,15.8,High,5.4,4.5,0,low
Men,32,171,73.0,Running,10.7,Moderate,1.2,4.8,0,low
Women,20,171,70.7,Football,7.3,Moderate,2.1,8.7,4,low
Women,20,159,53.4,Gymnastics,15.2,High,7.9,1.4,5,low
Men,27,189,73.2,Football,19.9,High,2.2,5.0,5,high
Men,28,196,91.7,Swimming,4.1,Low,8.2,7.5,2,high
Men,29,194,87.5,Basketball,1.1,Low,1.5,4.2,4,high
Men,20,191,87.4,Football,18.8,High,1.0,3.5,0,high
Women,25,168,63.7,Football,17.8,High,6.1,4.9,1,high
Women,22,166,40.0,Gymnastics,1.9,Low,7.4,4.0,2,low
Women,32,165,54.7,Football,19.1,High,6.6,8.7,4,high
Men,22,190,66.4,Football,9.7,Moderate,2.2,1.5,1,low
Women,19,192,71.3,Basketball,5.5,Moderate,4.3,3.4,5,high
Women,28,181,57.7,Swimming,7.2,Moderate,5.7,6.0,1,low
Men,37,171,81.5,Football,8.5,Moderate,5.1,3.9,1,high
Women,20,183,56.8,Basketball,16.7,High,4.3,6.4,3,high
Women,18,172,68.2,Swimming,16.1,High,2.9,9.3,0,low
Women,35,155,58.6,Running,9.3,Moderate,9.9,6.8,3,high
Men,37,174,84.1,Football,3.4,Low,1.5,5.3,3,high
Men,30,173,58.4,Running,18.6,High,1.2,8.8,0,high
Women,20,185,61.7,Basketball,5.1,Moderate,7.2,2.9,5,low
Women,39,172,81.7,Basketball,18.3,High,7.9,1.3,0,high
Men,30,169,77.7,Football,19.8,High,5.1,5.1,0,high
Women,33,169,43.6,Gymnastics,7.3,Moderate,2.1,3.5,0,low
Men,28,186,52.4,Running,1.5,Low,5.2,9.1,4,low
Women,26,162,64.1,Football,3.3,Low,1.8,4.4,4,low
Men,30,168,62.4,Running,16.6,High,6.3,7.4,3,high
Men,22,166,51.9,Running,8.5,Moderate,8.2,3.7,4,low
Men,33,203,88.9,Basketball,8.9,Moderate,7.1,7.7,4,high
Men,34,189,63.2,Football,8.9,Moderate,5.9,5.9,4,high
Men,26,160,66.0,Gymnastics,2.8,Low,7.5,3.4,1,low
Women,38,169,46.5,Gymnastics,6.2,Moderate,1.9,4.4,5,low
Men,20,188,50.4,Running,4.1,Low,8.2,3.3,0,low
Women,18,165,64.9,Running,5.1,Moderate,9.4,4.9,3,low
Men,24,179,73.0,Football,7.9,Moderate,6.3,1.8,1,low
Men,24,185,86.5,Football,1.7,Low,2.3,1.1,0,low
Women,38,150,49.1,Gymnastics,4.4,Low,6.6,9.1,5,low
Women,19,172,50.2,Football,8.8,Moderate,8.0,5.9,4,low
Men,22,200,76.6,Basketball,18.5,High,8.4,5.4,3,high
Men,25,180,69.5,Running,3.5,Low,7.4,8.2,1,high
Men,36,194,90.1,Basketball,12.3,Moderate,4.8,4.7,2,high
Women,29,156,53.1,Football,19.6,High,4.4,1.4,3,low
Men,34,170,77.3,Football,11.0,Moderate,2.8,9.4,4,high
Women,40,159,54.8,Running,3.2,Low,8.1,8.9,2,low
Men,31,205,71.0,Basketball,7.7,Moderate,2.2,5.4,2,high
Men,23,174,81.3,Football,14.8,Moderate,2.1,7.5,2,high
Women,31,156,48.5,Running,0.9,Low,7.1,3.1,4,low
Women,37,157,45.6,Gymnastics,3.3,Low,9.0,7.0,1,low
Women,36,170,57.7,Running,14.7,Moderate,7.6,5.3,5,high
Men,32,188,50.5,Running,3.9,Low,1.4,9.3,2,low
Men,31,198,92.5,Swimming,19.4,High,1.8,3.8,2,high
Women,34,199,71.6,Basketball,2.8,Low,6.6,8.4,1,high
Men,26,187,86.2,Football,11.8,Moderate,1.8,7.3,0,high
Men,28,167,62.2,Gymnastics,15.3,High,3.8,4.6,4,high
Women,38,190,73.0,Basketball,6.8,Moderate,9.8,5.0,5,high
Men,29,175,69.7,Football,1.0,Low,3.8,9.7,0,low
Men,35,175,50.7,Running,6.8,Moderate,7.1,2.2,3,low
Men,19,196,73.7,Swimming,12.2,Moderate,5.6,9.1,0,high
Men,19,184,98.7,Basketball,2.3,Low,5.4,2.7,3,high
Women,20,188,62.9,Swimming,10.3,Moderate,6.7,4.6,2,high
Women,36,156,64.5,Running,0.7,Low,2.0,6.0,2,low
Men,38,176,69.3,Swimming,11.5,Moderate,8.8,2.3,1,high
Women,33,179,73.1,Swimming,8.9,Moderate,7.2,9.4,3,high
Men,32,164,55.8,Gymnastics,9.0,Moderate,9.9,9.7,0,high
Men,34,177,62.7,Gymnastics,19.0,High,2.5,4.4,3,high
Men,23,204,89.3,Basketball,8.8,Moderate,4.3,9.9,1,high
Men,30,204,95.1,Basketball,9.7,Moderate,8.7,2.3,2,high
Women,25,169,67.2,Football,13.1,Moderate,9.7,9.8,3,high
Men,30,204,85.2,Swimming,11.6,Moderate,6.5,8.7,3,high
Women,29,177,77.5,Swimming,7.3,Moderate,5.7,9.9,1,high
Women,31,151,46.0,Running,18.3,High,6.9,9.1,1,low
Women,29,170,58.4,Basketball,16.9,High,7.0,6.1,4,high
Men,21,179,86.5,Swimming,8.1,Moderate,3.7,1.6,1,low
Women,21,153,52.2,Gymnastics,4.9,Low,6.8,3.1,2,low
Women,38,183,68.1,Football,2.0,Low,9.3,4.0,4,high
Men,28,167,56.0,Running,16.1,High,3.8,9.4,5,high
Women,29,154,54.1,Gymnastics,5.3,Moderate,9.9,5.3,1,low
Women,39,156,66.9,Football,18.7,High,1.1,5.9,5,high
Women,40,153,43.3,Gymnastics,0.6,Low,2.7,6.9,2,low
Women,24,151,55.7,Running,0.8,Low,4.2,8.1,3,low
Women,21,185,70.7,Basketball,16.4,High,9.3,2.5,5,high
Men,32,205,98.3,Basketball,8.5,Moderate,4.4,8.3,1,high
Women,23,188,78.3,Basketball,19.8,High,8.9,8.5,2,high
Men,37,193,72.4,Football,16.9,High,2.8,1.5,1,high
Men,25,163,63.0,Gymnastics,2.6,Low,7.9,1.4,2,low
Women,28,166,63.6,Running,7.7,Moderate,6.8,8.7,1,low
Women,18,158,60.8,Football,9.5,Moderate,7.5,3.6,4,low
Men,39,186,60.1,Football,17.8,High,2.5,2.5,0,high
Men,22,182,51.8,Running,8.9,Moderate,2.4,7.1,5,low
Women,35,186,73.5,Basketball,6.0,Moderate,5.2,5.0,2,high
Men,34,189,92.7,Basketball,2.7,Low,6.0,4.7,0,high
Women,32,168,40.7,Gymnastics,6.9,Moderate,9.0,4.7,3,low
Women,36,177,45.5,Running,6.2,Moderate,4.2,5.4,1,low
Women,33,159,56.4,Football,9.3,Moderate,7.5,4.0,3,low
Men,28,191,76.7,Swimming,9.9,Moderate,7.1,2.8,3,high
Women,21,167,42.2,Gymnastics,8.0,Moderate,1.1,7.7,2,low
Men,37,192,87.9,Football,8.9,Moderate,1.1,9.7,5,high
Men,21,161,64.9,Running,10.0,Moderate,8.1,6.9,1,low
Men,40,195,71.1,Football,10.9,Moderate,6.3,5.5,3,high
Women,28,184,67.3,Swimming,8.7,Moderate,3.5,5.8,5,high
Men,20,204,77.8,Basketball,0.6,Low,8.4,8.9,4,high
Women,18,153,40.3,Gymnastics,17.7,High,4.0,2.8,0,low
Men,19,185,98.0,Swimming,12.6,Moderate,7.4,5.9,3,high
Men,40,189,103.8,Basketball,15.9,High,8.4,2.3,3,high
Women,27,174,53.1,Running,7.3,Moderate,6.1,3.1,1,low
Women,36,174,70.5,Football,19.0,High,6.9,2.6,5,high
Women,31,184,76.4,Basketball,13.6,Moderate,6.0,8.0,2,high
Women,37,152,58.2,Running,19.7,High,1.8,6.8,1,high
Men,38,175,74.7,Swimming,1.3,Low,2.7,4.2,0,low
Women,36,195,67.3,Swimming,15.1,High,1.5,3.4,1,high
Men,31,195,74.1,Football,16.0,High,7.8,1.8,1,high
Women,37,164,49.1,Running,3.8,Low,7.3,6.7,0,low
Men,23,170,86.8,Football,10.0,Moderate,9.1,9.7,4,high
Women,38,175,74.7,Basketball,1.8,Low,5.5,6.2,0,high
Men,18,167,69.0,Running,19.1,High,7.6,8.4,0,high
Women,19,162,53.3,Gymnastics,11.2,Moderate,8.8,6.9,3,low
Men,37,210,109.9,Basketball,0.9,Low,8.2,3.2,4,high
Women,38,171,51.6,Football,15.7,High,8.2,5.5,3,high
Women,21,172,49.8,Running,13.7,Moderate,1.3,1.3,5,low
Men,31,186,68.4,Running,4.8,Low,4.5,9.9,3,high
Women,35,160,52.3,Football,9.3,Moderate,1.9,8.7,5,low
Women,26,191,71.8,Swimming,5.6,Moderate,5.5,2.3,5,high
Women,26,157,73.1,Football,5.4,Moderate,6.9,9.9,3,high
Men,18,171,78.9,Football,13.6,Moderate,7.3,9.6,0,high
Men,39,175,66.4,Swimming,13.1,Moderate,4.1,9.3,0,high
Men,30,168,72.9,Running,0.2,Low,9.6,8.9,5,high
Men,28,199,82.1,Swimming,19.9,High,1.6,7.9,4,high
Men,22,189,81.6,Basketball,17.9,High,4.2,9.3,0,high
Women,25,184,52.0,Football,2.0,Low,5.1,1.5,2,low
Men,32,163,61.7,Gymnastics,7.8,Moderate,9.0,8.4,3,high
Women,31,195,64.3,Swimming,3.8,Low,7.6,3.2,2,high
Women,20,170,41.6,Gymnastics,6.2,Moderate,2.1,7.1,4,low
Men,21,179,68.2,Football,19.3,High,8.4,2.4,5,high
Men,24,164,62.0,Gymnastics,15.1,High,1.6,1.1,5,low
Men,22,161,67.3,Running,16.6,High,4.7,4.1,2,low
Men,26,162,70.6,Running,7.3,Moderate,6.9,9.0,4,high
Men,31,180,82.9,Swimming,15.7,High,5.3,1.2,2,high
Women,23,197,58.0,Basketball,14.7,Moderate,9.0,9.0,3,high
Men,22,164,59.3,Gymnastics,11.1,Moderate,1.5,9.2,5,low
